"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"locfit","locfit","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5-9.8",NA,"R (>= 4.1.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"LoomExperiment","LoomExperiment","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.16.0",NA,"R (>= 3.5.0), S4Vectors, SingleCellExperiment,
SummarizedExperiment, methods, rhdf5, BiocIO","DelayedArray, GenomicRanges, HDF5Array, Matrix, stats,
stringr, utils",NA,"testthat, BiocStyle, knitr, rmarkdown, reticulate",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"loomR","loomR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.1.9000",NA,"R (>= 3.2.2), R6, hdf5r","utils, Matrix, methods, pbapply, stringr, stats",NA,NA,NA,"DBAD",NA,NA,NA,NA,"no","4.2.1"
"lpSolve","lpSolve","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","5.6.18",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.0"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.2",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"magick","magick","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.7.5",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, gapminder, IRdisplay, tesseract
(>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"mapproj","mapproj","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.11",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","4.2.0"
"maps","maps","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.4.1",NA,"R (>= 3.5.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"maptools","maptools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-8",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat.geom (>= 1.65-0), PBSmapping,
maps, RColorBrewer, raster, polyclip, plotrix, spatstat.linnet
(>= 1.65-3), spatstat.utils (>= 1.19.0), spatstat (>= 2.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8",NA,"R (>= 2.11.1)","utils, commonmark (>= 1.9.0), xfun (>= 0.38)",NA,"knitr, rmarkdown (>= 2.18), yaml, RCurl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.3-60","recommended","R (>= 4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"mathjaxr","mathjaxr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6-0",NA,NA,NA,NA,"js",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6-1","recommended","R (>= 3.5.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.2.1"
"Matrix.utils","Matrix.utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.8",NA,"R (>= 3.0.0), Matrix","grr, methods, stats",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"MatrixGenerics","MatrixGenerics","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.10.0",NA,"matrixStats (>= 0.60.1)","methods",NA,"sparseMatrixStats, DelayedMatrixStats, SummarizedExperiment,
testthat (>= 2.1.0), Matrix",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"MatrixModels","MatrixModels","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5-2",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"matrixStats","matrixStats","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"maxstat","maxstat","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7-25",NA,"R (>= 1.7.0)","exactRankTests(>= 0.8-23), mvtnorm(>= 0.5-10), stats, graphics",NA,"TH.data, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"MCDA","MCDA","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.0.22",NA,NA,"Rglpk, glpkAPI, methods, RColorBrewer, combinat, triangle,
plyr, ggplot2",NA,"Rgraphviz, cplexAPI",NA,"EUPL (== 1.1)",NA,NA,NA,NA,"no","4.2.0"
"mclust","mclust","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","6.0.0",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"MCPcounter","MCPcounter","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 2.6.0), curl",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"memoise","memoise","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"metap","metap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8",NA,"R (>= 3.5.0)","lattice,Rdpack (>= 0.7),TFisher,mutoss,mathjaxr (>=
0.8-3),qqconf",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"methods","methods","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9-0","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mice","mice","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.16.0",NA,"R (>= 2.10.0)","broom, dplyr, generics, glmnet, graphics, grDevices, lattice,
methods, mitml, nnet, Rcpp, rpart, rlang, stats, tidyr, utils","cpp11, Rcpp","broom.mixed, future, furrr, haven, knitr, lme4, MASS,
miceadds, pan, parallelly, purrr, ranger, randomForest,
rmarkdown, rstan, survival, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mime","mime","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.2.0"
"miniUI","miniUI","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"minqa","minqa","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.6",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"misc3d","misc3d","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9-1",NA,NA,"grDevices, graphics, stats, tcltk",NA,"rgl, tkrplot, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"mitml","mitml","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4-5",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, methods, utils",NA,"mice, miceadds, Amelia, lme4, nlme, lavaan, geepack, glmmTMB,
survival, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"mixtools","mixtools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.0",NA,"R (>= 4.0.0)","kernlab, MASS, plotly, scales, segmented, stats, survival",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"mnormt","mnormt","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.1",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"ModelMetrics","ModelMetrics","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"modelr","modelr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"modeltools","modeltools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"monocle3","monocle3","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.9",NA,"R (>= 4.0.0), Biobase, SingleCellExperiment","assertthat (>= 0.2.1), batchelor, BiocGenerics (>= 0.28.0),
BiocParallel, DelayedArray (>= 0.8.0), DelayedMatrixStats (>=
1.4.0), digest (>= 0.6.28), dplyr (>= 0.8.0.1), future (>=
1.23.0), ggplot2 (>= 3.1.1), ggrastr, ggrepel (>= 0.8.1), grr,
HDF5Array, igraph (>= 1.2.4), irlba (>= 2.3.3), leidenbase (>=
0.1.9), limma (>= 3.38.3), lme4 (>= 1.1-27), lmtest (>=
0.9-36), MASS (>= 7.3-51.4), Matrix (>= 1.2-17), Matrix.utils,
methods, openssl, pbapply (>= 1.4-0), pbmcapply (>= 1.4.1),
pheatmap, plotly (>= 4.9.0), plyr (>= 1.8.4), proxy (>=
0.4-23), pscl (>= 1.5.2), purrr (>= 0.3.2), RANN (>= 2.6.1),
RColorBrewer, Rcpp (>= 1.0.1), reshape2 (>= 1.4.3), rsample (>=
0.0.5), RhpcBLASctl, RcppAnnoy, RcppHNSW (>= 0.3.0), Rtsne (>=
0.15), S4Vectors, shiny, slam (>= 0.1-45), spdep (>= 1.1-2),
speedglm (>= 0.3-2), stats, stringr (>= 1.4.0),
SummarizedExperiment (>= 1.11.5), utils, uwot (>= 0.1.8), terra
(>= 1.4-17), tibble (>= 2.1.1), tictoc, tidyr (>= 0.8.3),
viridis (>= 0.5.1)","Rcpp","testthat (>= 2.1.0), pryr (>= 0.1.4), knitr, rmarkdown,
spelling, scran",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"mosaic","mosaic","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8.4.2",NA,"R (>= 3.0.0),","dplyr, lattice (>= 0.20-21), ggformula, mosaicData, Matrix,
mosaicCore (>= 0.7.0), ggplot2, rlang (>= 0.4.7), purrr, MASS,
grid, tidyr, methods, utils",NA,"ggstance, ggridges, vdiffr, lubridate, magrittr, NHANES,
RCurl, sp, maptools, vcd, testthat, knitr, tools, parallel,
mapproj, rgl, rmarkdown, covr, formatR, palmerpenguins,
ggrepel, readr, ggdendro, gridExtra, splines, latticeExtra,
glue, broom, leaflet","manipulate","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"mosaicCore","mosaicCore","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.2.1",NA,"R (>= 3.3.0)","stats, dplyr, rlang, tidyr, MASS",NA,"mosaicData, mosaic, ggformula, NHANES, testthat, mosaicCalc
(>= 0.5.9)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"mosaicData","mosaicData","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.20.3",NA,"R (>= 3.0.0)",NA,NA,"lattice, mosaic, reshape2, ggplot2, dplyr, tidyr, ggformula",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"msigdbr","msigdbr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.5.1",NA,"R (>= 3.4)","babelgene, dplyr (>= 0.7.0), magrittr, rlang, tibble,
tidyselect",NA,"knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"multcomp","multcomp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4-25",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10), glmmTMB",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"multcompView","multcompView","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-9",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"multicross","multicross","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.0",NA,"R (>= 3.5.0),","stats (>= 3.5.0), MASS (>= 7.3-49), Matrix (>= 1.2-17),
nbpMatching (>= 1.5.1), crossmatch (>= 1.3-1),",NA,"ape",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.1"
"multtest","multtest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.54.0",NA,"R (>= 2.10), methods, BiocGenerics, Biobase","survival, MASS, stats4",NA,"snow",NA,"LGPL",NA,NA,NA,NA,"yes","4.2.1"
"MungeSumstats","MungeSumstats","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.0",NA,"R(>= 4.1)","magrittr, data.table, utils, R.utils, dplyr, stats,
GenomicRanges, IRanges, GenomeInfoDb, BSgenome, Biostrings,
stringr, VariantAnnotation, googleAuthR, httr, jsonlite,
methods, parallel, rtracklayer, RCurl",NA,"SNPlocs.Hsapiens.dbSNP144.GRCh37,
SNPlocs.Hsapiens.dbSNP144.GRCh38,
SNPlocs.Hsapiens.dbSNP155.GRCh37,
SNPlocs.Hsapiens.dbSNP155.GRCh38,
BSgenome.Hsapiens.1000genomes.hs37d5,
BSgenome.Hsapiens.NCBI.GRCh38, BiocGenerics, S4Vectors,
rmarkdown, markdown, knitr, testthat (>= 3.0.0), UpSetR,
BiocStyle, covr, Rsamtools, MatrixGenerics, badger,
BiocParallel, GenomicFiles",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"munsell","munsell","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"mutoss","mutoss","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1-13",NA,"R (>= 2.10.0), mvtnorm","plotrix, multtest (>= 2.2.0), multcomp (>= 1.1-0), methods",NA,"fdrtool, qvalue, testthat, lattice",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"mvtnorm","mvtnorm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2-3",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"NbClust","NbClust","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0.1",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"nbpMatching","nbpMatching","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.4",NA,NA,"methods, stats, Hmisc, MASS, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"network","network","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.18.1",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"networkD3","networkD3","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4",NA,"R (>= 3.0.0)","htmlwidgets (>= 0.3.2), igraph, magrittr",NA,"htmltools (>= 0.2.6), jsonlite,","knitr, shiny","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1-163","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nloptr","nloptr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.3",NA,NA,NA,"testthat","knitr, rmarkdown, xml2, testthat (>= 3.0.0), covr",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"NMF","NMF","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.26",NA,"R (>= 3.0.0), methods, utils, registry, rngtools (>= 1.2.3),
cluster","graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2, Biobase, codetools, BiocManager",NA,"fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, RUnit, mail",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","7.3-19","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"nnls","nnls","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5",NA,NA,NA,NA,"bvls, quadprog",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"numDeriv","numDeriv","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"nVennR","nVennR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.3",NA,"R (>= 2.10)","Rcpp","Rcpp","knitr, rmarkdown, rsvg, grImport2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"nycflights13","nycflights13","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.2.0"
"odbc","odbc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.5",NA,"R (>= 3.2.0)","bit64, blob (>= 1.2.0), DBI (>= 1.0.0), hms, methods, Rcpp (>=
0.12.11), rlang (>= 0.2.0)","Rcpp","covr, DBItest, magrittr, RSQLite, testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"officer","officer","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.2",NA,NA,"grDevices, stats, graphics, utils, zip (>= 2.1.0), xml2 (>=
1.1.0), openssl, R6, uuid, ragg",NA,"testthat, devEMF, ggplot2, rmarkdown, doconv (>= 0.3.0),
knitr, rsvg, magick",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"openssl","openssl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.0",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"openxlsx","openxlsx","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.5.2",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","knitr, rmarkdown, roxygen2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ordinal","ordinal","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2022.11-16",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"org.Hs.eg.db","org.Hs.eg.db","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.16.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.59.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"org.Mm.eg.db","org.Mm.eg.db","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.16.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.59.1)",NA,NA,"DBI, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"orthogene","orthogene","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.2",NA,"R (>= 4.1)","dplyr, methods, stats, utils, Matrix, jsonlite, homologene,
gprofiler2, babelgene, data.table, parallel, ggplot2, ggpubr,
patchwork, DelayedArray, grr, repmis, ggtree, tools",NA,"rworkflows, remotes, knitr, BiocStyle, markdown, rmarkdown,
testthat (>= 3.0.0), piggyback, magick, GenomeInfoDbData, ape,
phytools, rphylopic (>= 1.0.0), TreeTools, ggimage, OmaDB",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"pacman","pacman","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"paletteer","paletteer","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, ggplot2 (>= 3.3.0), ggthemes (>= 4.0.0), harrypotter
(>= 2.1.0), knitr, oompaBase, palr, pals, rmarkdown, scico,
testthat (>= 2.1.0), vdiffr, viridisLite",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"palmerpenguins","palmerpenguins","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.1",NA,"R (>= 2.10)",NA,NA,"knitr, rmarkdown, tibble, ggplot2, dplyr, tidyr, recipes",NA,"CC0",NA,NA,NA,NA,"no","4.2.0"
"pals","pals","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8",NA,"R (>= 2.10)","dichromat, colorspace, graphics, grDevices, mapproj, maps,
methods, stats",NA,"classInt, ggplot2, knitr, latticeExtra, reshape2, rgl,
rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pan","pan","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"pander","pander","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.6",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"parallelly","parallelly","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.36.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"partykit","partykit","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2-20",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0), randomForest",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"patchwork","patchwork","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.3",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang, cli",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"pathview","pathview","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.38.0",NA,"R (>= 3.5.0)","KEGGgraph, XML, Rgraphviz, graph, png, AnnotationDbi,
org.Hs.eg.db, KEGGREST, methods, utils",NA,"gage, org.Mm.eg.db, RUnit, BiocGenerics",NA,"GPL (>=3.0)",NA,NA,NA,NA,"no","4.2.1"
"pbapply","pbapply","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7-2",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"pbdZMQ","pbdZMQ","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3-10",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"pbivnorm","pbivnorm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"pbkrtest","pbkrtest","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.2",NA,"R (>= 4.1.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, Matrix (>= 1.2.3), methods, numDeriv,
parallel",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
